identified_name,identified_rank,identified_no,accepted_name,accepted_rank,accepted_no,early_interval,max_ma,min_ma,reference_no,cc,state
Bonniopsis sp.,genus,19508,Bonniopsis,genus,19508,Cambrian,541,485.4,61234,CA,Nunavut
Fremontia sp.,genus,155360,Mesonacis,genus,19142,Cambrian,541,485.4,61234,CA,Nunavut
Trilobita indet.,class,19100,Trilobita,class,19100,Cambrian,541,485.4,61234,CA,Nunavut
Paterina sp.,genus,26583,Paterina,genus,26583,Cambrian,541,485.4,61234,CA,Nunavut
Hyolithes sp.,genus,7746,Hyolithes,genus,7746,Cambrian,541,485.4,61234,CA,Nunavut
Bonniopsis sp.,genus,19508,Bonniopsis,genus,19508,Caerfai,530,513,61234,CA,Nunavut
Paedumias sp.,genus,19150,Olenellus (Paedeumias),subgenus,155701,Caerfai,530,513,61234,CA,Nunavut
Trilobita indet.,class,19100,Trilobita,class,19100,Caerfai,530,513,61234,CA,Nunavut
Hyolithes sp.,genus,7746,Hyolithes,genus,7746,Caerfai,530,513,61234,CA,Nunavut
Circotheca sp.,genus,7634,Circotheca,genus,7634,Caerfai,530,513,61234,CA,Nunavut
Acrothele ? sp.,genus,26434,Acrothele,genus,26434,Caerfai,530,513,61234,CA,Nunavut
Agraulos sp.,genus,20257,Agraulos,genus,20257,Cambrian,541,485.4,60927,CA,British Columbia
Bonnia sp.,genus,19506,Bonnia,genus,19506,Cambrian,541,485.4,60927,CA,British Columbia
Crassifimbra sp.,genus,20429,Crassifimbra,genus,20429,Cambrian,541,485.4,60927,CA,British Columbia
Olenellus sp.,genus,19149,Olenellus,genus,19149,Cambrian,541,485.4,60927,CA,British Columbia
Onchocephalus sp.,genus,20769,Onchocephalus,genus,20769,Cambrian,541,485.4,60927,CA,British Columbia
Paedumias sp.,genus,19150,Olenellus (Paedeumias),subgenus,155701,Cambrian,541,485.4,60927,CA,British Columbia
Pagetia sp.,genus,19287,Pagetia,genus,19287,Cambrian,541,485.4,60927,CA,British Columbia
Piaziella sp.,genus,20839,Piaziella,genus,20839,Cambrian,541,485.4,60927,CA,British Columbia
Syspacephalus sp.,genus,20986,Ptychoparella,genus,20902,Cambrian,541,485.4,60927,CA,British Columbia
Zacanthopsis sp.,genus,19719,Zacanthopsis,genus,19719,Cambrian,541,485.4,60927,CA,British Columbia
