order,species,trophic_level
Artiodactyla,Camelus dromedarius,1
Carnivora,Canis adustus,2
Carnivora,Canis aureus,2
Carnivora,Canis latrans,3
Carnivora,Canis lupus,3
Artiodactyla,Bos frontalis,1
Artiodactyla,Bos grunniens,1
Artiodactyla,Bos javanicus,1
Primates,Callicebus cupreus,NA
Primates,Callicebus discolor,NA
Primates,Callicebus donacophilus,NA
Primates,Callicebus dubius,NA
Primates,Callicebus hoffmannsi,NA
Primates,Callicebus lucifer,NA
Primates,Callicebus lugens,NA
Primates,Callicebus medemi,NA
Primates,Callicebus melanochir,NA
Primates,Callicebus modestus,NA
Didelphimorphia,Caluromys derbianus,2
Didelphimorphia,Caluromys lanatus,2
Didelphimorphia,Caluromys philander,2
Didelphimorphia,Caluromysiops irrupta,2
Cingulata,Calyptophractus retusus,2
Artiodactyla,Camelus bactrianus,1
Artiodactyla,Bos sauveli,1
Artiodactyla,Bos taurus,NA
Artiodactyla,Boselaphus tragocamelus,1
Rodentia,Brachiones przewalskii,NA
Carnivora,Canis mesomelas,2
Carnivora,Canis simensis,3
Rodentia,Cannomys badius,NA
Rodentia,Cansumys canus,NA
Cetacea,Caperea marginata,NA
Artiodactyla,Capra caucasica,NA
Artiodactyla,Capra falconeri,1
Artiodactyla,Capra hircus,1
Artiodactyla,Capra ibex,1
Erinaceomorpha,Atelerix algirus,2
Erinaceomorpha,Atelerix frontalis,2
Erinaceomorpha,Atelerix sclateri,NA
Primates,Ateles belzebuth,1
Primates,Ateles chamek,1
Primates,Ateles fusciceps,1
Primates,Ateles geoffroyi,1
Primates,Ateles hybridus,NA
Primates,Ateles marginatus,1
Primates,Ateles paniscus,2
Primates,Callicebus moloch,2
Primates,Callicebus nigrifrons,NA
Primates,Callicebus oenanthe,NA
Primates,Callicebus olallae,NA
Primates,Callicebus ornatus,NA
Primates,Callicebus pallescens,NA
Primates,Callicebus personatus,1
Primates,Callicebus purinus,NA
Primates,Callicebus regulus,NA
Primates,Callicebus stephennashi,NA
Primates,Callicebus torquatus,2
Primates,Callimico goeldii,2
Rodentia,Callistomys pictus,NA
Primates,Callithrix acariensis,NA
Primates,Callithrix argentata,2
Primates,Callithrix aurita,2
Primates,Callithrix chrysoleuca,NA
Primates,Callithrix emiliae,NA
Primates,Callithrix flaviceps,2
Primates,Callithrix geoffroyi,NA
Primates,Callithrix humeralifera,2
Primates,Callithrix humilis,NA
Primates,Callithrix intermedia,NA
Primates,Callithrix jacchus,2
Primates,Callithrix kuhlii,2
Primates,Callithrix leucippe,NA
Primates,Callithrix manicorensis,NA
Primates,Callithrix marcai,NA
Primates,Callithrix mauesi,2
Primates,Callithrix melanura,NA
Primates,Callithrix nigriceps,2
Primates,Callithrix penicillata,NA
