order,species,iucn_status
Rodentia,Abditomys_latidens,DD
Rodentia,Abeomelomys_sevia,LC
Rodentia,Abrawayaomys_ruschii,LC
Rodentia,Abrocoma_bennettii,LC
Rodentia,Abrocoma_boliviensis,CR
Rodentia,Abrocoma_budini,DD
Rodentia,Abrocoma_cinerea,LC
Rodentia,Abrocoma_famatina,DD
Rodentia,Abrocoma_shistacea,LC
Rodentia,Abrocoma_uspallata,DD
Rodentia,Abrocoma_vaccarum,DD
Rodentia,Abrothrix_andinus,LC
Rodentia,Abrothrix_illutea,LC
Rodentia,Abrothrix_jelskii,LC
Rodentia,Abrothrix_lanosus,LC
Rodentia,Abrothrix_longipilis,LC
Rodentia,Abrothrix_olivaceus,LC
Rodentia,Abrothrix_sanborni,NT
Chiroptera,Acerodon_celebensis,VU
Chiroptera,Acerodon_humilis,EN
Chiroptera,Acerodon_jubatus,EN
Chiroptera,Acerodon_leucotis,VU
Chiroptera,Acerodon_mackloti,VU
Carnivora,Acinonyx_jubatus,VU
Rodentia,Acomys_airensis,LC
Rodentia,Acomys_cahirinus,LC
Rodentia,Acomys_cilicicus,DD
Rodentia,Acomys_cineraceus,LC
Rodentia,Acomys_dimidiatus,LC
Rodentia,Acomys_ignitus,LC
Rodentia,Acomys_johannis,LC
Rodentia,Acomys_kempi,LC
Rodentia,Acomys_louisae,LC
Rodentia,Acomys_minous,DD
Rodentia,Acomys_mullah,LC
Rodentia,Acomys_nesiotes,DD
Rodentia,Acomys_percivali,LC
Rodentia,Acomys_russatus,LC
Rodentia,Acomys_seurati,LC
Rodentia,Acomys_spinosissimus,LC
Rodentia,Acomys_subspinosus,LC
Rodentia,Acomys_wilsoni,LC
Rodentia,Aconaemys_fuscus,LC
Rodentia,Aconaemys_porteri,DD
Rodentia,Aconaemys_sagei,DD
Pilosa,Acratocnus_odontrigonus,DD
Pilosa,Acratocnus_ye,DD
Diprotodontia,Acrobates_pygmaeus,LC
Cetartiodactyla,Addax_nasomaculatus,CR
Rodentia,Aegialomys_galapagoensis,VU
Rodentia,Aegialomys_xanthaeolus,LC
Rodentia,Aepeomys_lugens,LC
Rodentia,Aepeomys_reigi,VU
Cetartiodactyla,Aepyceros_melampus,LC
Diprotodontia,Aepyprymnus_rufescens,LC
Rodentia,Aeretes_melanopterus,NT
Rodentia,Aeromys_tephromelas,DD
Rodentia,Aeromys_thomasi,LC
Chiroptera,Aethalops_aequalis,LC
Chiroptera,Aethalops_alecto,LC
Rodentia,Aethomys_bocagei,LC
Rodentia,Aethomys_chrysophilus,LC
Rodentia,Aethomys_granti,LC
Rodentia,Aethomys_hindei,LC
Rodentia,Aethomys_ineptus,LC
Rodentia,Aethomys_kaiseri,LC
Rodentia,Aethomys_namaquensis,LC
Rodentia,Aethomys_nyikae,LC
Rodentia,Aethomys_silindensis,DD
Rodentia,Aethomys_stannarius,DD
Rodentia,Aethomys_thomasi,LC
Cetartiodactyla,Agalmaceros_blicki,DD
Carnivora,Ailuropoda_melanoleuca,VU
Diprotodontia,Ailurops_melanotis,CR
Diprotodontia,Ailurops_ursinus,VU
Carnivora,Ailurus_fulgens,EN
Rodentia,Akodon_aerosus,LC
Rodentia,Akodon_affinis,LC
Rodentia,Akodon_albiventer,LC
Rodentia,Akodon_aliquantulus,DD
Rodentia,Akodon_azarae,LC
Rodentia,Akodon_boliviensis,LC
Rodentia,Akodon_budini,LC
Rodentia,Akodon_cursor,LC
Rodentia,Akodon_dayi,LC
Rodentia,Akodon_dolores,LC
Rodentia,Akodon_fumeus,LC
Rodentia,Akodon_iniscatus,LC
Rodentia,Akodon_juninensis,LC
Rodentia,Akodon_kofordi,LC
Rodentia,Akodon_leucolimnaeus,DD
Rodentia,Akodon_lindberghi,DD
Rodentia,Akodon_lutescens,LC
Rodentia,Akodon_mimus,LC
Rodentia,Akodon_molinae,LC
Rodentia,Akodon_mollis,LC
Rodentia,Akodon_montensis,LC
Rodentia,Akodon_mystax,DD
Rodentia,Akodon_neocenus,DD
Rodentia,Akodon_oenos,DD
Rodentia,Akodon_orophilus,LC
Rodentia,Akodon_paranaensis,LC
Rodentia,Akodon_pervalens,DD
Rodentia,Akodon_philipmyersi,DD
Rodentia,Akodon_reigi,LC
Rodentia,Akodon_sanctipaulensis,DD
Rodentia,Akodon_serrensis,LC
Rodentia,Akodon_siberiae,NT
Rodentia,Akodon_simulator,LC
Rodentia,Akodon_spegazzinii,LC
Rodentia,Akodon_subfuscus,LC
Rodentia,Akodon_surdus,VU
Rodentia,Akodon_sylvanus,LC
Rodentia,Akodon_toba,LC
Rodentia,Akodon_torques,LC
Rodentia,Akodon_varius,DD
Cetartiodactyla,Alcelaphus_buselaphus,LC
Cetartiodactyla,Alces_alces,LC
Chiroptera,Alionycteris_paucidentata,LC
Rodentia,Allactaga_balikunica,LC
Rodentia,Allactaga_bullata,LC
Rodentia,Allactaga_elater,LC
Rodentia,Allactaga_euphratica,NT
Rodentia,Allactaga_firouzi,DD
Rodentia,Allactaga_hotsoni,LC
Rodentia,Allactaga_major,LC
Rodentia,Allactaga_severtzovi,LC
Rodentia,Allactaga_sibirica,LC
Rodentia,Allactaga_tetradactyla,VU
Rodentia,Allactaga_vinogradovi,NT
Rodentia,Allactaga_williamsi,LC
Rodentia,Allactodipus_bobrinskii,LC
Primates,Allenopithecus_nigroviridis,LC
Primates,Allocebus_trichotis,VU
Primates,Allochrocebus_lhoesti,VU
Primates,Allochrocebus_preussi,EN
Primates,Allochrocebus_solatus,VU
Rodentia,Allocricetulus_curtatus,LC
Rodentia,Allocricetulus_eversmanni,LC
Primates,Alouatta_arctoidea,LC
Primates,Alouatta_belzebul,VU
Primates,Alouatta_caraya,LC
Primates,Alouatta_discolor,VU
Primates,Alouatta_guariba,LC
Primates,Alouatta_macconnelli,LC
Primates,Alouatta_nigerrima,LC
Primates,Alouatta_palliata,LC
Primates,Alouatta_pigra,EN
Primates,Alouatta_sara,LC
Primates,Alouatta_seniculus,LC
Primates,Alouatta_ululata,EN
Rodentia,Alticola_albicaudus,DD
Rodentia,Alticola_argentatus,LC
Rodentia,Alticola_barakshin,LC
Rodentia,Alticola_lemminus,LC
Rodentia,Alticola_macrotis,LC
Rodentia,Alticola_montosa,VU
Rodentia,Alticola_olchonensis,EN
Rodentia,Alticola_roylei,NT
Rodentia,Alticola_semicanus,LC
Rodentia,Alticola_stoliczkanus,LC
Rodentia,Alticola_strelzowi,LC
Rodentia,Alticola_tuvinicus,LC
Rodentia,Amblyrhiza_inundata,DD
Afrosoricida,Amblysomus_corriae,NT
Afrosoricida,Amblysomus_hottentotus,LC
