order,species,maturity_age_d
Artiodactyla,Camelus_dromedarius,1947.94
Carnivora,Canis_adustus,249.88
Carnivora,Canis_aureus,371.23
Carnivora,Canis_latrans,372.9
Carnivora,Canis_lupus,679.37
Artiodactyla,Bos_frontalis,610.97
Artiodactyla,Bos_grunniens,755.15
Artiodactyla,Bos_javanicus,797.31
Primates,Callicebus_cupreus,NA
Primates,Callicebus_discolor,NA
Primates,Callicebus_donacophilus,NA
Primates,Callicebus_dubius,NA
Primates,Callicebus_hoffmannsi,NA
Primates,Callicebus_lucifer,NA
Primates,Callicebus_lugens,NA
Primates,Callicebus_medemi,NA
Primates,Callicebus_melanochir,NA
Primates,Callicebus_modestus,NA
Didelphimorphia,Caluromys_derbianus,251.71
Didelphimorphia,Caluromys_lanatus,NA
Didelphimorphia,Caluromys_philander,314.52
Didelphimorphia,Caluromysiops_irrupta,NA
Cingulata,Calyptophractus_retusus,NA
Artiodactyla,Camelus_bactrianus,1330.6
Artiodactyla,Bos_sauveli,755.15
Artiodactyla,Bos_taurus,755.15
Artiodactyla,Boselaphus_tragocamelus,NA
Rodentia,Brachiones_przewalskii,NA
Carnivora,Canis_mesomelas,241.4
Carnivora,Canis_simensis,754.74
Rodentia,Cannomys_badius,NA
Rodentia,Cansumys_canus,NA
Cetacea,Caperea_marginata,NA
Artiodactyla,Capra_caucasica,1015
Artiodactyla,Capra_falconeri,1015
Artiodactyla,Capra_hircus,498.97
Artiodactyla,Capra_ibex,838.54
Erinaceomorpha,Atelerix_algirus,NA
Erinaceomorpha,Atelerix_frontalis,411.43
Erinaceomorpha,Atelerix_sclateri,NA
Primates,Ateles_belzebuth,NA
Primates,Ateles_chamek,NA
Primates,Ateles_fusciceps,1799.68
Primates,Ateles_geoffroyi,2104.57
Primates,Ateles_hybridus,NA
Primates,Ateles_marginatus,NA
Primates,Ateles_paniscus,2104.57
Primates,Callicebus_moloch,1262.74
Primates,Callicebus_nigrifrons,NA
Primates,Callicebus_oenanthe,NA
Primates,Callicebus_olallae,NA
Primates,Callicebus_ornatus,NA
Primates,Callicebus_pallescens,NA
Primates,Callicebus_personatus,NA
Primates,Callicebus_purinus,NA
Primates,Callicebus_regulus,NA
Primates,Callicebus_stephennashi,NA
Primates,Callicebus_torquatus,1683.65
Primates,Callimico_goeldii,413.84
Rodentia,Callistomys_pictus,NA
Primates,Callithrix_acariensis,NA
Primates,Callithrix_argentata,701.52
Primates,Callithrix_aurita,NA
Primates,Callithrix_chrysoleuca,NA
Primates,Callithrix_emiliae,NA
Primates,Callithrix_flaviceps,NA
Primates,Callithrix_geoffroyi,NA
Primates,Callithrix_humeralifera,NA
Primates,Callithrix_humilis,NA
Primates,Callithrix_intermedia,NA
Primates,Callithrix_jacchus,455.99
Primates,Callithrix_kuhlii,NA
Primates,Callithrix_leucippe,NA
Primates,Callithrix_manicorensis,NA
Primates,Callithrix_marcai,NA
Primates,Callithrix_mauesi,NA
Primates,Callithrix_melanura,NA
Primates,Callithrix_nigriceps,NA
Primates,Callithrix_penicillata,NA
Primates,Callithrix_pygmaea,708.5
Primates,Callithrix_saterei,NA
Carnivora,Callorhinus_ursinus,1683.65
Rodentia,Callosciurus_adamsi,NA
Rodentia,Callosciurus_albescens,NA
Rodentia,Callosciurus_baluensis,NA
Rodentia,Callosciurus_caniceps,NA
Rodentia,Callosciurus_erythraeus,NA
Rodentia,Callosciurus_finlaysonii,NA
Rodentia,Callosciurus_inornatus,NA
Rodentia,Callosciurus_melanogaster,NA
Rodentia,Callosciurus_nigrovittatus,NA
Rodentia,Callosciurus_notatus,413.84
Rodentia,Callosciurus_orestes,NA
Rodentia,Callosciurus_phayrei,NA
Rodentia,Callosciurus_prevostii,NA
Rodentia,Callosciurus_pygerythrus,NA
Rodentia,Callosciurus_quinquestriatus,NA
Rodentia,Calomys_boliviae,NA
Rodentia,Calomys_callidus,13.57
Rodentia,Calomys_callosus,43.18
Rodentia,Calomys_expulsus,NA
Rodentia,Calomys_hummelincki,NA
Rodentia,Calomys_laucha,NA
Rodentia,Calomys_lepidus,NA
Rodentia,Calomys_musculinus,76.03
Rodentia,Calomys_sorellus,NA
Rodentia,Calomys_tener,NA
Rodentia,Calomys_tocantinsi,NA
Rodentia,Calomys_venustus,NA
Rodentia,Calomyscus_bailwardi,NA
Rodentia,Calomyscus_baluchi,NA
Rodentia,Calomyscus_elburzensis,NA
Rodentia,Calomyscus_grandis,NA
Rodentia,Calomyscus_hotsoni,NA
Rodentia,Calomyscus_mystax,NA
Rodentia,Calomyscus_tsolovi,NA
