order,genus_species,maturity_d,interbirth_d,longevity_m,litter_size_ind
Artiodactyla,Camelus_dromedarius,1947.94,614.41,480.0,0.98
Carnivora,Canis_adustus,249.88,,137.0,4.5
Carnivora,Canis_aureus,371.23,365.0,192.0,3.74
Carnivora,Canis_latrans,372.9,365.0,262.0,5.72
Carnivora,Canis_lupus,679.37,365.0,354.0,4.98
Artiodactyla,Bos_frontalis,610.97,403.02,314.4,1.22
Artiodactyla,Bos_grunniens,755.15,,267.0,1.0
Artiodactyla,Bos_javanicus,797.31,,318.96,1.22
Primates,Callicebus_cupreus,,395.41,,1.01
Primates,Callicebus_discolor,,,,
Primates,Callicebus_donacophilus,,,,1.02
Primates,Callicebus_dubius,,,,1.02
Primates,Callicebus_hoffmannsi,,,,1.02
Primates,Callicebus_lucifer,,,,
Primates,Callicebus_lugens,,,,
Primates,Callicebus_medemi,,,,
Primates,Callicebus_melanochir,,,,
Primates,Callicebus_modestus,,,,1.02
Didelphimorphia,Caluromys_derbianus,251.71,,60.0,3.14
Didelphimorphia,Caluromys_lanatus,,,60.0,
Didelphimorphia,Caluromys_philander,314.52,166.5,76.0,4.18
Didelphimorphia,Caluromysiops_irrupta,,,94.0,2.0
Cingulata,Calyptophractus_retusus,,,144.0,
Artiodactyla,Camelus_bactrianus,1330.6,730.0,480.0,1.39
Artiodactyla,Bos_sauveli,755.15,,,
Artiodactyla,Bos_taurus,755.15,,240.0,
Artiodactyla,Boselaphus_tragocamelus,,400.5,260.4,1.39
Rodentia,Brachiones_przewalskii,,,,
Carnivora,Canis_mesomelas,241.4,273.75,168.0,3.89
Carnivora,Canis_simensis,754.74,365.0,,
Rodentia,Cannomys_badius,,,48.0,2.0
Rodentia,Cansumys_canus,,,,
Cetacea,Caperea_marginata,,,,0.98
Artiodactyla,Capra_caucasica,1015.0,,264.0,1.09
Artiodactyla,Capra_falconeri,1015.0,,168.0,1.73
Artiodactyla,Capra_hircus,498.97,365.0,249.6,1.45
Artiodactyla,Capra_ibex,838.54,547.5,267.6,1.11
Erinaceomorpha,Atelerix_algirus,,,84.0,2.5
Erinaceomorpha,Atelerix_frontalis,411.43,,,4.99
Erinaceomorpha,Atelerix_sclateri,,,,
Primates,Ateles_belzebuth,,,336.0,1.02
Primates,Ateles_chamek,,,,
Primates,Ateles_fusciceps,1799.68,851.66,288.0,1.01
Primates,Ateles_geoffroyi,2104.57,1048.15,327.6,1.01
Primates,Ateles_hybridus,,,,
Primates,Ateles_marginatus,,,,
Primates,Ateles_paniscus,2104.57,1072.18,453.6,1.0
Primates,Callicebus_moloch,1262.74,365.0,303.6,1.01
Primates,Callicebus_nigrifrons,,,,
Primates,Callicebus_oenanthe,,,,1.02
Primates,Callicebus_olallae,,,,1.02
Primates,Callicebus_ornatus,,,,
Primates,Callicebus_pallescens,,,,
