assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
495630,10030,Hexanchus griseus,ANIMALIA,CHORDATA,HEXANCHIFORMES,CHONDRICHTHYES,HEXANCHIDAE,Hexanchus,griseus,,,,"(Bonnaterre, 1788)",Near Threatened,A2bd,3.1,Decreasing,Global
495907,10041,Heosemys annandalii,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,GEOEMYDIDAE,Heosemys,annandalii,,,,"(Boulenger in Annandale &amp; Robinson, 1903)",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
497499,132523146,Hubbsina turneri,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Hubbsina,turneri,,,,"(de Buen, 1940)",Critically Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Decreasing,Global
497550,10267,Hungerfordia pelewensis,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,DIPLOMMATINIDAE,Hungerfordia,pelewensis,,,,"Beddome, 1889",Endangered,"B1ab(ii,iii)+2ab(ii,iii)",3.1,Unknown,Global
498370,10767,Ictalurus australis,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ICTALURIDAE,Ictalurus,australis,,,,"(Meek, 1904)",Data Deficient,,3.1,Decreasing,Global
498476,10769,Ictalurus mexicanus,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ICTALURIDAE,Ictalurus,mexicanus,,,,"(Meek, 1904)",Vulnerable,D2,3.1,Unknown,Global
498639,1078,Ambloplites cavifrons,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CENTRARCHIDAE,Ambloplites,cavifrons,,,,"Cope, 1868",Least Concern,,3.1,Stable,Global
498726,10803,Iguanognathus werneri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Iguanognathus,werneri,,,,"Boulenger, 1898",Data Deficient,,3.1,,Global
498826,132521900,Ilyodon whitei,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Ilyodon,whitei,,,,(Meek 1904),Least Concern,,3.1,Decreasing,Global
499158,10825,Indotestudo forstenii,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TESTUDINIDAE,Indotestudo,forstenii,,,,"(Schlegel &amp; Müller, 1845)",Critically Endangered,A4cd,3.1,Decreasing,Global
499618,10950,Pangshura sylhetensis,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,GEOEMYDIDAE,Pangshura,sylhetensis,,,,"Jerdon, 1870",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
500479,11058,Kubaryia pilikia,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,ASSIMINEIDAE,Kubaryia,pilikia,,,,"Clench, 1948",Critically Endangered,B1ab(iii),3.1,Unknown,Global
500780,11150,Lagocephalus gloveri,ANIMALIA,CHORDATA,TETRAODONTIFORMES,ACTINOPTERYGII,TETRAODONTIDAE,Lagocephalus,gloveri,,,,"Abe &amp; Tabeta, 1983",Data Deficient,,3.1,Decreasing,Global
500918,1117,Ameca splendens,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Ameca,splendens,,,,"Gartner, 1981",Critically Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Decreasing,Global
500969,11200,Lamna nasus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Lamna,nasus,,,,"(Bonnaterre, 1788)",Vulnerable,A2bd,3.1,Decreasing,Global
501662,11242,Lampsilis rafinesqueana,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lampsilis,rafinesqueana,,,,"Frierson, 1927",Endangered,A2ac,3.1,Decreasing,Global
501876,11249,Lampsilis abrupta,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lampsilis,abrupta,,,,"(Say, 1831)",Vulnerable,A2ace,3.1,Decreasing,Global
502085,11250,Hamiota altilis,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Hamiota,altilis,,,,"(Conrad, 1834)",Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
502298,11256,Obovaria haddletoni,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Obovaria,haddletoni,,,,"(Athearn, 1964)",Critically Endangered,A2ac,3.1,,Global
502451,11257,Lampsilis ornata,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lampsilis,ornata,,,,"(Conrad, 1835)",Least Concern,,3.1,Stable,Global
502583,11263,Lampsilis splendida,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lampsilis,splendida,,,,"(Lea, 1838)",Least Concern,,3.1,Stable,Global
502725,11361,Lasmigona subviridis,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lasmigona,subviridis,,,,"Conrad, 1835",Least Concern,,3.1,Decreasing,Global
502943,11479,Lemiox rimosus,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lemiox,rimosus,,,,"(Rafinesque, 1831)",Critically Endangered,"B1ab(i,ii,iii,iv)",3.1,Decreasing,Global
503146,11481,Lemmus lemmus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Lemmus,lemmus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global & Europe
503405,11686,Leptodea ochracea,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Leptodea,ochracea,,,,"(Say, 1817)",Near Threatened,,3.1,Decreasing,Global
503764,11785,Leptoxis taeniata,ANIMALIA,MOLLUSCA,SORBEOCONCHA,GASTROPODA,PLEUROCERIDAE,Leptoxis,taeniata,,,,"(Conrad, 1834)",Endangered,"B1ab(i,ii,iii)",3.1,Decreasing,Global
503908,11797,Lepus castroviejoi,ANIMALIA,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Lepus,castroviejoi,,,,"Palacios, 1977",Vulnerable,B1ab(v),3.1,Decreasing,"Global, Europe & Mediterranean"
504863,11922,Pleuronaia dolabelloides,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Pleuronaia,dolabelloides,,,,"(Lea, 1840)",Endangered,"B1ab(i,ii,iii,v)",3.1,Decreasing,Global
505402,12124,Lissemys scutata,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TRIONYCHIDAE,Lissemys,scutata,,,,"(Peters, 1868)",Least Concern,,3.1,Stable,Global
505458,12137,Lithognathus lithognathus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Lithognathus,lithognathus,,,,"(Cuvier, 1829)",Endangered,"A2bcd; B2ab(ii,v)",3.1,Decreasing,Global
